1-4,constant,2,321,62
1-4,constant,3,303,59
1-4,constant,4,305,59
1-4,constant,5,302,65
1-4,constant,6,290,150
1-4,constant,7,290,150
1-4,constant,8,290,150
1-4,constant,9,290,150
1-4,constant,10,290,150
1-4,constant,11,290,100
1-4,constant,12,120,100
1-4,constant,13,290,150
1-4,constant,14,290,100
1-4,constant,15,306,67
1-4,nokill,2,722,276
1-4,nokill,3,316,61
1-4,nokill,4,311,56
1-4,nokill,5,290,150
1-4,nokill,6,434,182
1-4,nokill,7,306,54
1-4,nokill,8,434,182
1-4,nokill,9,385,154
1-4,nokill,10,306,56
1-4,nokill,11,290,100
1-4,nokill,12,290,150
1-4,nokill,13,302,54
1-4,nokill,14,290,100
1-4,nokill,15,290,150
1-4,bestasref,2,290,100
1-4,bestasref,3,307,60
1-4,bestasref,4,46,100
1-4,bestasref,5,290,150
1-4,bestasref,6,290,100
1-4,bestasref,7,317,61
1-4,bestasref,8,434,175
1-4,bestasref,9,303,59
1-4,bestasref,10,290,150
1-4,bestasref,11,304,74
1-4,bestasref,12,290,150
1-4,bestasref,13,434,174
1-4,bestasref,14,735,187
1-4,bestasref,15,462,98
2-1,constant,2,306,55
2-1,constant,3,290,150
2-1,constant,4,321,62
2-1,constant,5,190,150
2-1,constant,6,303,58
2-1,constant,7,211,100
2-1,constant,8,377,71
2-1,constant,9,826,192
2-1,constant,10,317,61
2-1,constant,11,882,346
2-1,constant,12,148,100
2-1,constant,13,290,150
2-1,constant,14,303,59
2-1,constant,15,290,150
2-1,nokill,2,290,150
2-1,nokill,3,739,190
2-1,nokill,4,320,58
2-1,nokill,5,882,350
2-1,nokill,6,434,182
2-1,nokill,7,290,100
2-1,nokill,8,302,55
2-1,nokill,9,290,150
2-1,nokill,10,313,68
2-1,nokill,11,377,73
2-1,nokill,12,317,61
2-1,nokill,13,303,59
2-1,nokill,14,304,59
2-1,nokill,15,290,150
2-1,bestasref,2,290,150
2-1,bestasref,3,722,250
2-1,bestasref,4,302,65
