t,f,solution,step
3.882791519165039,-311.8882809323262,0,90
3.9965150356292725,-166.51845577007558,1,146
4.05273175239563,-38.87712399367118,2,156
4.313490390777588,-31.76729878045669,6,260
4.388118028640747,-25.11630952114689,7,268
8.425115823745728,-21.958010068100712,18,3257
15.337053775787354,-19.89895320844911,65,7745
29.45459532737732,-15.512075566463585,118,13922
37.569491147994995,-13.049574212312999,149,18481
397.2144236564636,-12.741686531892036,1476,186007
656.7036933898926,-2.8900318906241527,2699,275969
750.0368547439575,-2.8900318906241527,3387,308883
