t,f,solution,step
1.0516374111175537,15.0,0,14
1.1640503406524658,24.0,4,69
1.2548408508300781,28.0,7,109
1.3853437900543213,33.0,11,185
1.557457447052002,48.0,16,261
1.963996171951294,75.0,29,484
3.1735899448394775,91.0,69,1033
7.509423017501831,101.0,195,2817
7.63766074180603,105.0,197,2928
9.448533535003662,112.0,236,3568
12.673786878585815,134.0,301,4616
16.039684534072876,161.0,395,6467
17.89250612258911,165.0,440,7255
22.08292007446289,173.0,552,9254
25.00808596611023,173.0,609,10162
