t,f,solution,step
3.542952537536621,-1382.7075799909342,0,999
4.10418176651001,-607.9536033786139,1,1998
6.645929574966431,-598.6094090610908,2,6123
8.147369623184204,-598.0951646202765,3,8671
9.062717199325562,-367.03767984611164,4,10351
42.074873208999634,27.54506491566495,5,39463
60.85331749916077,83.93587930038542,6,56317
102.94261407852173,401.8264671787458,7,88350
270.9230966567993,726.5273142451272,8,234179
317.4374611377716,879.8851582183612,9,278503
447.66119503974915,1336.766752894847,10,411996
643.3284606933594,1657.5499232450804,11,640334
907.1464376449585,1722.9715011172673,13,952084
972.5532641410828,1779.225180459639,15,1033227
1037.9535400867462,1885.9279518303354,16,1111573
1125.0233788490295,1885.9279518303354,18,1221520
