t,f,solution,step
2.9385814666748047,3.5867125227155903,0,4
2.983109951019287,3.949284802841249,1,9
3.0574839115142822,5.974567539033076,3,19
3.482525587081909,10.050589838271604,16,135
3.551175355911255,33.808353187438975,17,171
4.238097667694092,58.428186873430874,38,420
4.535829782485962,117.81372382349497,45,572
9.122907876968384,119.8270009293631,169,2173
10.7023286819458,149.49367241345752,202,2713
11.348985195159912,162.9133051245714,218,3104
16.953320741653442,175.6986959600447,335,5263
20.363776206970215,181.69306022478543,409,6791
26.459421396255493,187.43664078098334,546,10006
30.978214740753174,267.71657791431875,621,11700
78.65382242202759,1009.0143065838618,1502,35456
120.77849340438843,1021.3467473195624,2160,61559
137.8167610168457,1040.1996677353843,2395,75571
256.152321100235,1065.941637175661,3498,183142
675.6602468490601,1297.1696006678567,5321,649775
728.3724319934845,1347.0335818391197,5480,713547
875.5938429832458,1347.0335818391197,5896,890544
