t,f,solution,step
2.7257611751556396,18.26842818969768,0,1
2.7894625663757324,18.292272313174806,2,3
2.887347459793091,73.6945498629915,5,12
3.059725284576416,83.04700754935504,11,31
10.134597301483154,92.50555424645707,245,552
14.62415337562561,110.47049048555371,382,879
30.417020320892334,148.24246543400338,854,2081
59.67735743522644,165.6611783009774,1649,4812
63.529879093170166,166.2251558371625,1767,5330
69.63546371459961,194.16941748102238,1925,6099
141.84967017173767,212.65075361227915,3884,17073
200.83073592185974,212.65075361227915,5401,26215
