t,f,solution,step
0.9935312271118164,-1511.0344566778806,0,199
1.10561203956604,-1384.7834082001461,1,398
1.3734359741210938,-1281.5318783603914,2,597
2.603980779647827,-1189.2984075820334,4,1379
3.7789723873138428,-1158.9424543121313,6,2312
4.394054412841797,-384.5748333160025,7,2727
51.44778656959534,-2.934466844559292,8,19775
71.411865234375,-0.7367983191667813,9,26601
74.9268114566803,-0.5447729460384264,10,28030
127.40282797813416,-0.40609979601853574,11,44857
250.00093698501587,-0.40609979601853574,13,82846
