t,f,solution,step
3.5456016063690186,-21.977023866046316,0,999
4.230882883071899,-7.662359454825234,1,1998
4.819337606430054,2.8252646212039627,2,2997
5.387218475341797,13.21285965742016,3,3996
5.961549758911133,17.371651680355782,4,4995
7.719933748245239,19.78803688919726,5,8016
8.27718210220337,42.92499218758509,6,9015
23.3006432056427,77.0274651523296,7,33245
192.4033465385437,116.0043045700024,10,299423
373.8282651901245,128.95128273940307,14,583705
516.7610559463501,182.89587263231826,16,806498
867.1507389545441,193.91413644161634,21,1349525
1128.5697076320648,258.57383779311925,33,1760059
1375.160567522049,258.57383779311925,61,2148426
