t,f,solution,step
2.9299306869506836,4.113343048350264,0,12
3.913475751876831,6.053803736438637,29,408
4.840666055679321,38.30791408515072,54,869
7.670435905456543,76.83168674099123,115,1836
10.041903972625732,133.06063313112548,173,2883
14.241145372390747,296.87166182798603,253,4721
29.720383644104004,998.9087932347455,488,14660
69.7755994796753,1010.3509524130317,899,50292
89.77733325958252,1031.3017208322376,1043,69590
153.22527432441711,1080.9797156058346,1464,133749
345.15532207489014,1241.2619625521133,2633,330075
1181.6273305416107,1243.1302827909794,6063,1279738
1250.2887787818909,1243.1302827909794,6216,1360687
