t,f,solution,step
3.927518367767334,4.6466193199157715,0,4801
4.658716201782227,5.0,1,7237
36.63767433166504,5.057513236999512,6,24048
41.65185260772705,5.239351749420166,12,38661
46.46113872528076,6.1865620613098145,13,43462
67.41900706291199,6.401778697967529,15,50666
170.21159553527832,7.00897216796875,25,77101
212.75252103805542,9.072919845581055,39,113191
244.1379096508026,22.182109832763672,44,127760
683.6966335773468,22.940166473388672,102,278082
3958.973444700241,23.137897491455078,480,1379883
5085.644957304001,23.40622329711914,582,1849642
5231.7946898937225,23.46084976196289,604,1914943
6583.646430492401,29.27167510986328,827,2539830
7204.101968288422,29.27167510986328,936,2859457
